id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
GZNNOBP33O,1,0,inicialization,0.05131670194948623,0.0,0.0,,2,,,4,6
BROS8WF83T,1,0,inicialization,0.05131670194948623,0.0,1.0,4,2,6,,4,6
WDZ3R6XDSH,1,3,inicialization,0.42264973081037427,0.11428571428571432,0.0,3,5,2,9,1,2
Z6VWE3IAZF,1,3,inicialization,0.2254033307585166,0.4571428571428571,1.0,3,20,3,7,2,3
Z0RR1QXNJE,1,1,inicialization,0.0871290708247231,0.2857142857142857,1.0,4,36,5,4,2,3
GNMQXPN4WZ,1,0,inicialization,0.05131670194948623,0.0,1.0,4,13,6,5,3,5
FC9CQI6O3W,1,2,inicialization,0.2254033307585166,0.0,1.0,4,37,5,2,2,3
U57FE2YSNC,1,0,inicialization,0.05131670194948623,0.0,1.0,3,17,6,4,3,5
OM4BIGAB39,1,3,inicialization,0.2254033307585166,0.4571428571428571,0.0,3,5,3,8,2,3
X39VSBHSPH,1,2,inicialization,0.2254033307585166,0.0,1.0,3,38,3,3,2,3
DFUD6I56GO,1,0,inicialization,0.05131670194948623,0.0,0.0,4,13,5,1,4,5
8AG2CDMHRZ,1,1,inicialization,0.0871290708247231,0.2857142857142857,1.0,3,25,5,4,3,4
69DGUE33SU,1,2,inicialization,0.1339745962155613,0.4,0.0,4,9,5,9,4,5
OA8WUB6G5C,1,2,inicialization,0.1339745962155613,0.4,0.0,4,33,4,8,3,4
FNKOPAUGGA,1,0,inicialization,0.05131670194948623,0.0,0.0,3,6,5,7,3,5
YKTTWAJ2MM,1,1,inicialization,0.16333997346592444,0.0,0.0,4,22,5,3,4,5
S0CCDOB3BL,1,1,inicialization,0.16333997346592444,0.0,0.0,4,36,5,1,3,4
MFZX3ZY3PF,1,0,inicialization,0.05131670194948623,0.0,0.0,4,4,5,6,3,5
CMXD8LFH38,1,0,inicialization,0.05131670194948623,0.0,1.0,4,3,5,5,4,5
45CUKVHB0O,1,3,inicialization,0.2254033307585166,0.4571428571428571,0.0,4,37,5,7,2,3
C33G3NXZJY,1,0,inicialization,0.05131670194948623,0.0,1.0,3,13,4,3,3,4
WTXSS25063,1,1,inicialization,0.0871290708247231,0.2857142857142857,1.0,4,26,4,4,3,4
K8VGZIYRFF,1,3,inicialization,0.2254033307585166,0.4571428571428571,1.0,3,19,5,7,2,4
UKULSNR00M,1,3,inicialization,0.2254033307585166,0.4571428571428571,1.0,3,37,4,7,2,3
53BGVQFR1B,1,2,inicialization,0.18350341907227397,0.11428571428571432,0.0,4,20,4,9,3,4
UA8TOLTWS6,1,1,inicialization,0.16333997346592444,0.0,0.0,3,5,5,4,3,5
JS6YW2PIDL,1,0,inicialization,0.05131670194948623,0.0,1.0,4,10,6,9,4,6
TJ1XW2XL6E,1,3,inicialization,0.2254033307585166,0.4571428571428571,0.0,4,9,4,7,2,4
5X99JV1IK7,1,1,inicialization,0.16333997346592444,0.0,0.0,4,27,4,4,3,4
7NWF4AJ3KC,1,3,inicialization,0.42264973081037427,0.11428571428571432,0.0,3,18,2,9,1,2
P1DRCMH8K9,1,0,inicialization,0.05131670194948623,0.0,1.0,4,18,5,1,4,5
P6C5MIJOD3,1,1,inicialization,0.16333997346592444,0.0,0.0,3,2,3,3,2,3
RA0IPF84PV,1,3,inicialization,0.2254033307585166,0.4571428571428571,1.0,4,28,4,8,2,3
1TFNXMO9B9,1,1,inicialization,0.16333997346592444,0.0,0.0,4,16,4,6,2,4
N7DHPC3E5H,1,2,inicialization,0.2254033307585166,0.0,1.0,3,7,3,2,2,3
